protein,pfam_name,pfam_accession,evalue,score
NP_417802.1,DsrH,PF04077,1.9e-29,102.2
NP_417803.1,DsrE,PF02635,2.2e-28,99.3
NP_417804.1,DsrE,PF02635,4.8e-28,98.2
NP_417805.4,PAS_6,PF08348,1.4e-39,135.4
NP_417805.4,HTH_22,PF13309,4.6e-19,68.8
NP_417806.1,FKBP_C,PF00254,2.3e-34,118.2
NP_417806.1,FKBP_N,PF01346,3.2e-21,76.6
NP_417807.1,SlyX,PF04102,8.3e-23,81.4
NP_417808.1,FKBP_C,PF00254,1.3e-08,35.6
NP_417809.1,Na_H_Exchanger,PF00999,6.2e-64,216.8
NP_417809.1,TrkA_N,PF02254,1.9e-24,86.8
NP_417809.1,KefB_C,PF27452,1e-22,80.7
NP_417810.1,Flavodoxin_2,PF02525,3.1e-44,151.7
NP_417811.1,ABC_tran,PF00005,2.3e-50,171.3
NP_417811.1,ABC_tran_Xtn,PF12848,2.4e-29,101.8
NP_417811.1,AAA_21,PF13304,9.3e-16,59.2
NP_417811.1,MMR_HSR1,PF01926,1.3e-07,32.3
NP_417811.1,AAA_29,PF13555,3.3e-06,27.4
NP_417811.1,KAP_NTPase,PF07693,1.6e-05,24.8
NP_417812.1,Abhydrolase_1,PF00561,1.5e-41,143.2
NP_417812.1,Hydrolase_4,PF12146,5.9e-11,42.7
NP_417812.1,Abhydrolase_6,PF12697,2.7e-07,32.0
NP_417812.1,ABHD18,PF09752,0.0002,21.2
NP_417813.1,UPF0270,PF06794,1.3e-35,121.9
NP_417814.1,PRK,PF00485,1.4e-76,257.3
NP_417815.1,OsmC,PF02566,1.3e-20,74.2
NP_417816.1,cNMP_binding,PF00027,8.1e-25,87.2
NP_417816.1,HTH_Crp_2,PF13545,8.8e-14,51.8
NP_417816.1,Crp,PF00325,1.1e-09,38.4
NP_417817.2,FUSC-like,PF12805,4.4e-72,243.1
NP_417817.2,FUSC_2,PF13515,1.5e-21,77.4
NP_417818.1,Aminotran_3,PF00202,1e-149,499.3
NP_417818.1,Aminotran_1_2,PF00155,3.5e-06,27.0
NP_417819.1,GATase,PF00117,7.5e-63,212.2
NP_417819.1,Peptidase_C26,PF07722,2.5e-09,37.8
NP_417820.1,Fic,PF02661,7.5e-14,52.9
NP_417821.1,YhfG,PF10832,5.6e-24,84.3
NP_417822.1,Pro_isomerase,PF00160,3.1e-51,174.3
NP_417823.1,MFS_1,PF07690,1.4e-25,90.6
NP_417824.1,Pyr_redox_2,PF07992,1.8e-55,189.0
NP_417824.1,Fer2_BFD,PF04324,1.5e-20,73.9
NP_417824.1,NIR_SIR,PF01077,1.2e-19,70.9
NP_417824.1,Pyr_redox,PF00070,3.2e-18,66.6
NP_417824.1,NIR_SIR_ferr,PF03460,1.9e-12,47.3
NP_417824.1,Rubredoxin_C,PF18267,2.4e-10,40.8
NP_417824.1,Pyr_redox_3,PF13738,1.4e-07,31.7
NP_417825.1,Rieske_2,PF13806,2.4e-40,137.3
NP_417827.1,TP_methylase,PF00590,1.7e-53,182.3
NP_417827.1,NAD_binding_7,PF13241,5.5e-29,101.4
NP_417827.1,CysG_dimeriser,PF10414,5.9e-18,65.0
NP_417827.1,Sirohm_synth_M,PF14824,1.2e-08,34.8
NP_417828.1,DUF4223,PF13978,1.1e-34,118.6
NP_417829.2,AA_permease_2,PF13520,1.6e-60,205.8
NP_417829.2,AA_permease,PF00324,2e-33,116.4
NP_417830.4,SIS,PF01380,5.8e-16,59.1
NP_417833.1,PfkB,PF00294,1.5e-38,133.4
NP_417834.6,UTRA,PF07702,4e-33,114.8
NP_417834.6,GntR,PF00392,1.5e-23,82.8
NP_417834.6,HTH_DeoR,PF08220,0.00023,21.4
NP_417835.1,YhfS-like_C,PF22475,2e-43,147.5
NP_417835.1,Aminotran_1_2,PF00155,4.6e-10,39.8
NP_417835.1,Cys_Met_Meta_PP,PF01053,7.3e-07,28.7
NP_417836.1,YhfT,PF10797,1.9e-180,601.1
NP_417837.2,DUF2620,PF10941,6.3e-52,175.2
NP_417838.1,PTE,PF02126,1.1e-147,492.1
NP_417839.1,Metalloenzyme,PF01676,2e-56,191.9
NP_417839.1,Phosphodiest,PF01663,1.3e-05,25.6
NP_417840.1,YhfX-like_C,PF21279,5.6e-38,130.0
NP_417840.1,Ala_racemase_N,PF01168,3.9e-22,79.6
NP_417843.1,tRNA-synt_1b,PF00579,3e-88,296.5
NP_417844.1,Hydrolase,PF00702,2.5e-39,136.3
NP_417844.1,HAD_2,PF13419,5.2e-37,128.2
NP_417844.1,HAD,PF12710,1.6e-13,52.1
NP_417844.1,Hydrolase_like,PF13242,1.4e-10,41.5
NP_417844.1,Hydrolase_3,PF08282,4.3e-06,27.2
NP_417845.1,Ribul_P_3_epim,PF00834,2.9e-91,304.9
NP_417845.1,QRPTase_C,PF01729,5.3e-06,26.9
NP_417846.1,MethyltransfD12,PF02086,4.3e-81,273.0
NP_417847.1,SPOR,PF05036,2.2e-14,54.1
NP_417848.1,DHQS_C,PF24621,4.9e-56,189.3
NP_417848.1,DHQ_synthase,PF01761,5.5e-49,165.2
NP_417848.1,Fe-ADH_2,PF13685,6.4e-10,39.8
NP_417850.1,Secretin,PF00263,3.3e-47,160.8
NP_417850.1,Secretin_N,PF03958,6.7e-12,46.0
NP_417850.1,STN,PF07660,3.3e-09,37.0
NP_417851.4,HofP,PF10748,3.7e-80,266.7
NP_417852.1,HofO,PF25319,2.5e-25,88.9
NP_417853.1,PilN,PF05137,9.9e-11,42.1
NP_417855.4,Transgly,PF00912,6e-67,225.1
NP_417855.4,PCB_OB,PF17092,1.8e-33,116.2
NP_417855.4,Transpeptidase,PF00905,1.2e-25,90.9
NP_417856.1,NUDIX,PF00293,7.1e-15,55.8
NP_417857.1,IgaA,PF07095,0.0,1179.9
NP_417858.4,Hydrolase,PF00702,2e-21,77.9
NP_417858.4,HAD_2,PF13419,1.2e-10,42.3
NP_417858.4,HAD,PF12710,2.2e-08,35.3
NP_417859.1,HSP15_C,PF28601,1.8e-21,76.4
NP_417859.1,S4,PF01479,6.1e-14,52.1
NP_417860.2,HSP33,PF01430,7.4e-88,295.1
NP_417861.1,DUF4153,PF13687,5.6e-37,128.4
NP_417862.1,PEPCK_ATP,PF01293,1.1e-209,697.6
NP_417863.1,HATPase_c,PF02518,1.1e-24,87.5
NP_417863.1,HisKA,PF00512,2.1e-12,47.5
NP_417863.1,HAMP,PF00672,5.3e-09,36.8
NP_417864.1,Response_reg,PF00072,4.8e-31,107.8
NP_417864.1,Trans_reg_C,PF00486,2.4e-23,82.5
NP_417866.4,Tex_central_region,PF22706,9.2e-76,254.4
NP_417866.4,Tex_YqgF,PF16921,4.6e-51,173.1
NP_417866.4,Tex_N,PF09371,5.8e-31,106.6
NP_417866.4,HHH_3,PF12836,8e-30,103.3
NP_417866.4,S1,PF00575,3.2e-25,88.9
NP_417866.4,HHH_9,PF17674,5.1e-25,88.7
NP_417866.4,HHH_7,PF14635,7.9e-10,39.6
NP_417866.4,S1_RRP5,PF23459,3.5e-06,28.1
NP_417867.1,FeoA,PF04023,1.8e-11,44.5
NP_417868.1,FeoB_N,PF02421,1.1e-64,217.3
NP_417868.1,Gate,PF07670,1.2e-39,135.6
NP_417868.1,MMR_HSR1,PF01926,3e-21,76.2
NP_417868.1,FeoB_C,PF07664,1.2e-20,73.5
NP_417868.1,FeoB_Cyto,PF17910,6.3e-09,36.7
NP_417868.1,GTP_EFTU,PF00009,7.8e-07,29.4
NP_417869.1,FeoC,PF09012,2.6e-13,50.5
NP_417869.1,TrmB,PF01978,6.2e-06,26.6
NP_417870.1,Transposase_31,PF04754,1.7e-91,305.9
NP_417870.1,HTH_Rpn_C,PF27070,1.8e-11,43.8
NP_417871.1,Abhydrolase_1,PF00561,5.9e-43,147.9
NP_417871.1,Abhydrolase_6,PF12697,7.1e-20,73.2
NP_417871.1,Hydrolase_4,PF12146,1.3e-10,41.6
NP_417871.1,Thioesterase,PF00975,4.8e-06,27.5
NP_417872.2,Pribosyltran,PF00156,1.2e-07,31.8
NP_417873.1,NifU,PF01106,3.7e-19,69.2
NP_417873.1,Fe-S_biosyn,PF01521,1.1e-13,51.9
NP_417875.1,Glyco_hydro_77,PF02446,2.7e-144,482.1
NP_417875.1,MalQ_N,PF21226,1.1e-15,58.6
NP_417877.1,TPR_MalT,PF17874,4e-106,355.7
NP_417877.1,WHD_MalT,PF25873,6.7e-26,90.9
NP_417877.1,GerE,PF00196,1.2e-20,73.4
NP_417879.1,RtcB,PF01139,5.1e-134,448.3
NP_417880.1,RtcR,PF06956,1e-85,286.4
NP_417880.1,Sigma54_activat,PF00158,2.2e-50,171.2
NP_417880.1,Sigma54_activ_2,PF14532,2.5e-13,51.1
NP_417880.1,AAA_5,PF07728,3.8e-08,34.0
NP_417880.1,AAA_lid_14,PF25601,7.7e-07,29.5
NP_417880.1,AAA,PF00004,1.4e-06,29.4
NP_417880.1,Mg_chelatase,PF01078,3.7e-06,27.1
NP_417883.1,Rhodanese,PF00581,1.4e-16,61.4
NP_417884.1,DAO,PF01266,6.1e-59,200.9
NP_417884.1,DAO_C,PF16901,3.2e-12,47.0
NP_417886.1,Phosphorylase,PF00343,0.0,1105.7
NP_417887.1,Glyco_transf_5,PF08323,1.3e-75,254.8
NP_417887.1,Glycos_transf_1,PF00534,7.2e-13,49.0
NP_417887.1,Glyco_transf_4,PF13439,2.9e-10,41.0
NP_417887.1,Glyco_trans_4_4,PF13579,1.4e-08,35.8
NP_417887.1,Glyco_trans_1_4,PF13692,2e-08,35.2
NP_417888.1,NTP_transferase,PF00483,5e-69,233.2
NP_417888.1,Hexapep_GlmU,PF24894,1.2e-41,141.7
NP_417888.1,LbH_GLGC,PF25247,9.8e-09,35.8
NP_417888.1,NTP_transf_3,PF12804,3.1e-06,28.0
NP_417889.1,GlgX_C,PF18390,3.6e-42,142.7
NP_417889.1,CBM_48,PF02922,1.7e-21,76.9
NP_417889.1,Alpha-amylase,PF00128,4e-16,59.8
NP_417890.1,GlgB_N,PF22019,1.4e-36,125.1
NP_417890.1,CBM_48,PF02922,1.7e-31,108.9
NP_417890.1,Alpha-amylase_C,PF02806,1.5e-26,93.1
NP_417890.1,Alpha-amylase,PF00128,2.8e-12,47.1
NP_417891.1,Semialdhyde_dhC,PF02774,4e-53,180.9
NP_417891.1,Semialdhyde_dh,PF01118,3.8e-25,89.2
NP_417892.1,MarC,PF01914,5.9e-66,222.4
NP_417894.2,SKI,PF01202,1.3e-07,32.4
NP_417894.2,AAA_33,PF13671,7.1e-07,30.2
NP_417894.2,APS_kinase,PF01583,9e-06,26.4
NP_417896.1,Pirin,PF02678,2.1e-38,131.3
NP_417896.1,Pirin_C_2,PF17954,4.1e-30,104.4
NP_417896.1,Cupin_2,PF07883,1.6e-06,28.3
NP_417897.1,GFO_IDH_MocA_C,PF02894,4.7e-47,161.2
NP_417897.1,GFO_IDH_MocA,PF01408,3.6e-31,108.9
NP_417897.1,GFO_IDH_MocA_C3,PF22725,2.5e-22,79.8
NP_417897.1,NAD_binding_3,PF03447,2.2e-05,25.8
NP_417898.1,Acetyltransf_1,PF00583,1.8e-18,67.5
NP_417898.1,Acetyltransf_3,PF13302,3e-11,44.8
NP_417898.1,Acetyltransf_4,PF13420,4.6e-11,43.6
NP_417898.1,Acetyltransf_7,PF13508,1.4e-10,42.0
NP_417898.1,Acetyltransf_10,PF13673,2.1e-09,38.0
NP_417898.1,Acetyltransf_8,PF13523,2.7e-06,27.6
NP_417898.1,FR47,PF08445,1.7e-05,25.3
NP_417899.1,T6SS_HCP,PF05638,1.5e-11,45.3
NP_417901.1,HTH_Tnp_IS1,PF12759,5.2e-31,106.6
NP_417901.1,Zn_ribbon_InsA,PF03811,1.4e-21,76.4
NP_417902.1,DDE_Tnp_IS1,PF03400,6.6e-78,260.0
NP_417903.1,Imm35,PF15567,1.7e-23,83.1
NP_417904.1,G_glu_transpept,PF01019,3.9e-197,656.8
NP_417905.1,DUF2756,PF10956,1.2e-60,202.9
NP_417906.1,GDPD,PF03009,1e-55,190.1
NP_417907.2,ABC_tran,PF00005,6.6e-34,118.0
NP_417907.2,OB_MalK,PF17912,7e-15,56.2
NP_417907.2,TOBE_2,PF08402,1.3e-10,41.8
NP_417908.1,BPD_transp_1,PF00528,3.6e-23,82.8
NP_417909.1,BPD_transp_1,PF00528,3.1e-19,70.0
NP_417910.1,SBP_bac_8,PF13416,8.6e-42,144.4
NP_417910.1,SBP_bac_1,PF01547,9.8e-39,134.7
NP_417911.4,ABC_tran,PF00005,8.7e-36,124.1
NP_417911.4,AAA_21,PF13304,2.4e-08,34.9
NP_417912.1,ABC_tran,PF00005,6e-34,118.2
NP_417912.1,BCA_ABC_TP_C,PF12399,1.6e-11,44.1
NP_417912.1,AAA_21,PF13304,3.5e-07,31.1
NP_417913.1,BPD_transp_2,PF02653,7.9e-65,219.2
NP_417913.1,DUF3382,PF11862,7.4e-25,87.7
NP_417914.1,BPD_transp_2,PF02653,1.4e-59,202.1
NP_417915.1,Peripla_BP_6,PF13458,1.3e-55,190.0
NP_417915.1,ANF_receptor,PF01094,1.7e-25,90.4
NP_417915.1,Peripla_BP_5,PF13433,5.1e-17,62.6
NP_417916.1,PanZ,PF12568,1.7e-57,193.0
NP_417916.1,Acetyltransf_1,PF00583,5.2e-06,27.3
NP_417918.1,Sigma70_r2,PF04542,2.1e-18,66.4
NP_417918.1,Sigma70_r4,PF04545,3.8e-18,65.3
NP_417918.1,Sigma70_r1_2,PF00140,0.00015,22.2
NP_417919.1,FtsX_ECD,PF18075,1.1e-19,71.3
NP_417919.1,FtsX,PF02687,2.5e-14,53.9
NP_417920.1,ABC_tran,PF00005,1.7e-40,139.4
NP_417920.1,AAA_21,PF13304,9e-07,29.7
NP_417921.1,SRP54,PF00448,1.3e-79,267.0
NP_417921.1,SRP54_N,PF02881,1.3e-14,54.7
NP_417921.1,Zeta_toxin,PF06414,3.5e-07,30.4
NP_417922.1,Cons_hypoth95,PF03602,9.9e-64,214.9
NP_417923.1,DUF1145,PF06611,1.1e-26,93.1
NP_417924.1,DUF2500,PF10694,1.1e-30,106.9
NP_417925.1,YhhN,PF07947,1.6e-47,162.1
NP_417926.1,Hydrolase,PF00702,5.4e-34,118.8
NP_417926.1,E1-E2_ATPase,PF00122,1.4e-23,83.2
NP_417926.1,HMA,PF00403,1.8e-12,48.0
NP_417926.1,Hydrolase_3,PF08282,2.3e-07,31.4
NP_417927.1,TusA,PF01206,2.8e-23,82.1
NP_417928.1,Vut_1,PF02592,1.1e-36,127.1
NP_417929.4,DcrB,PF08786,2.9e-30,105.6
NP_417930.2,MFS_1,PF07690,3.3e-36,125.5
NP_417931.4,AI-2E_transport,PF01594,3.8e-82,276.8
NP_417932.1,ACPS,PF01648,3.5e-11,43.7
NP_417933.1,SBP_bac_5,PF00496,6.5e-99,332.1
NP_417934.1,BPD_transp_1,PF00528,1.7e-47,162.2
NP_417934.1,BPD_transp_1_N,PF19300,7.1e-11,42.9
NP_417935.1,BPD_transp_1,PF00528,6.4e-32,111.4
NP_417936.1,ABC_tran,PF00005,2.9e-26,93.3
NP_417937.1,ABC_tran,PF00005,1.6e-40,139.5
NP_417937.1,AAA_21,PF13304,3.8e-06,27.7
NP_417938.1,NikR_C,PF08753,1.6e-27,96.1
NP_417938.1,RHH_1,PF01402,1.1e-12,48.0
NP_417940.2,Imm-NTF2-2,PF15631,7.3e-27,93.9
NP_417941.1,DDE_Tnp_1_assoc,PF13808,1.2e-33,115.6
NP_417941.1,DDE_Tnp_1,PF01609,8.8e-30,104.5
NP_417942.6,ABC2_membrane_3,PF12698,1.2e-34,120.6
NP_417942.6,ABC2_membrane,PF01061,6.8e-26,91.7
NP_417942.6,ABC2_membrane_2,PF12679,1.8e-15,57.5
NP_417945.1,DUF4049,PF13258,9.3e-180,597.5
NP_417948.4,DUF2776,PF10951,1.8e-145,485.1
NP_417949.1,HI0933_like,PF03486,5.1e-96,321.4
NP_417949.1,HI0933_like_1st,PF22780,1.4e-49,168.7
NP_417949.1,FAD_binding_2,PF00890,1.1e-09,38.6
NP_417949.1,Pyr_redox_2,PF07992,4.9e-09,36.6
NP_417949.1,Pyr_redox_3,PF13738,4.6e-08,33.2
NP_417949.1,DAO,PF01266,3.5e-07,30.7
NP_417949.1,FAD_oxidored,PF12831,2.7e-06,27.5
NP_417949.1,NAD_binding_8,PF13450,2.8e-05,24.9
NP_417949.1,GIDA,PF01134,8.8e-05,22.3
NP_417950.1,PHO4,PF01384,4.1e-93,312.8
NP_417951.1,UspB,PF10625,1.4e-54,183.2
NP_417952.1,Usp,PF00582,1.6e-23,84.4
NP_417953.1,PTR2,PF00854,1.3e-103,347.5
NP_417953.1,MFS_1,PF07690,3.4e-16,59.7
NP_417954.1,SAM_MT,PF04445,4.1e-104,347.6
NP_417955.1,Peptidase_M3,PF01432,8.8e-179,596.2
NP_417955.1,TOP_N,PF19310,4e-28,98.3
NP_417956.1,RsmJ,PF04378,2.4e-127,423.9
NP_417957.1,Pyr_redox_2,PF07992,2.2e-71,241.2
NP_417957.1,Pyr_redox_dim,PF02852,3.2e-38,130.9
NP_417957.1,Pyr_redox,PF00070,5.3e-20,72.3
NP_417957.1,Pyr_redox_3,PF13738,3.3e-15,56.7
NP_417958.1,HTH_5,PF01022,8.9e-17,61.3
NP_417958.1,HTH_20,PF12840,5.5e-07,30.1
NP_417959.4,ArsB,PF02040,1.5e-159,532.5
NP_417959.4,CitMHS,PF03600,1.2e-59,202.7
NP_417960.1,ArsC,PF03960,2.9e-24,85.8
NP_417962.2,DDE_Tnp_1,PF01609,8e-36,124.3
NP_417962.2,DUF772,PF05598,3.9e-25,88.8
NP_417963.4,Slp,PF03843,1.6e-41,141.8
NP_417964.1,GerE,PF00196,3.2e-09,36.9
NP_417965.1,ACT_YhiD_C,PF26539,7.5e-50,167.6
NP_417965.1,MgtC,PF02308,2.2e-38,131.9
NP_417966.4,HdeA,PF06411,2.1e-26,92.6
NP_417967.1,HdeA,PF06411,2.5e-27,95.6
NP_417968.1,DUF308,PF03729,5.8e-19,68.7
NP_417969.1,GerE,PF00196,6.3e-06,26.3
NP_417970.1,Beta-barrel_RND,PF25944,1.2e-33,116.0
NP_417970.1,BSH_RND,PF25917,7e-28,96.9
NP_417970.1,HH_MFP_RND,PF25876,1.1e-26,93.5
NP_417970.1,RND-MFP_C,PF25967,3.1e-26,91.7
NP_417970.1,Beta-barrel_RND_2,PF25954,1.6e-08,35.3
NP_417971.1,ACR_tran,PF00873,0.0,1412.3
NP_417971.1,SecD_SecF_C,PF02355,2.1e-07,31.1
NP_417971.1,MMPL,PF03176,7.1e-06,25.8
NP_417972.1,HTH_18,PF12833,2.6e-13,50.7
NP_417972.1,HTH_AraC,PF00165,7.9e-11,42.4
NP_417973.1,HTH_AraC,PF00165,4.1e-21,75.2
NP_417973.1,HTH_18,PF12833,8.7e-18,65.0
NP_417974.1,Pyridoxal_deC,PF00282,2.8e-111,372.4
NP_417975.1,CCP_MauG,PF03150,1.3e-56,192.0
NP_417975.1,Haem_bd,PF14376,1.3e-29,103.4
NP_417975.1,Cytochrom_C,PF00034,1.4e-11,46.1
NP_417976.1,Trehalase,PF01204,5.7e-171,570.4
NP_417976.1,MGH1-like_GH,PF22422,1.4e-17,64.9
NP_417977.1,GerE,PF00196,3.6e-22,78.3
NP_417977.1,Sigma70_r4_2,PF08281,5.2e-08,33.0
NP_417977.1,HTH_38,PF13936,1.4e-06,28.5
NP_417977.1,Sigma70_r4,PF04545,3.8e-06,26.9
NP_417978.2,LysR_substrate,PF03466,1.4e-42,146.0
NP_417978.2,HTH_1,PF00126,1.4e-19,70.4
NP_417979.1,Virul_fac_BrkB,PF03631,4.4e-50,171.3
NP_417980.1,Sugar_tr,PF00083,5.5e-34,118.4
NP_417980.1,MFS_1,PF07690,2.5e-30,106.2
NP_417981.2,AsmA,PF05170,7.8e-206,686.0
NP_417982.2,EAL,PF00563,4.9e-32,111.8
NP_417983.2,PfkB,PF00294,5.9e-74,249.7
NP_417984.1,Peptidase_M16_C,PF05193,2.2e-24,86.9
NP_417984.1,Peptidase_M16,PF00675,3.9e-06,27.4
NP_417985.1,SDF,PF00375,1.9e-118,396.5
NP_417986.4,EAL,PF00563,7e-60,202.9
NP_417986.4,GAPES3,PF17154,2.8e-46,156.9
NP_417986.4,GGDEF,PF00990,3.1e-11,43.9
NP_417988.1,Glyco_hydro_8,PF01270,5.9e-162,539.1
NP_417989.1,BcsB,PF03170,5e-222,739.1
NP_417990.4,Glycos_transf_2,PF00535,7.6e-24,85.1
NP_417990.4,Glyco_trans_2_3,PF13632,4e-18,66.5
NP_417990.4,Glyco_tranf_2_3,PF13641,2e-17,64.3
NP_417990.4,Cellulose_synt,PF03552,2.2e-16,60.2
NP_417990.4,PilZ,PF07238,9.5e-15,55.4
NP_417990.4,Glyco_transf_21,PF13506,1.2e-08,34.8
NP_417992.1,CBP_BcsR,PF10945,3.9e-17,62.2
NP_417993.1,CBP_BcsE,PF10995,1.6e-227,756.7
NP_417994.2,CBP_BcsF,PF11120,4.1e-29,100.8
NP_417995.1,CBP_BcsG,PF11658,5.1e-236,784.7
NP_417996.1,Trp_Tyr_perm,PF03222,1.1e-05,25.4
NP_417997.1,ABC_tran,PF00005,2.5e-33,116.2
NP_417997.1,oligo_HPY,PF08352,1.2e-20,74.3
NP_417998.1,ABC_tran,PF00005,1.4e-29,104.0
NP_417998.1,oligo_HPY,PF08352,6.6e-19,68.7
NP_417998.1,AAA_21,PF13304,3.3e-07,31.1
NP_417999.1,BPD_transp_1,PF00528,8e-33,114.3
NP_417999.1,OppC_N,PF12911,1.4e-18,67.1
NP_418000.1,BPD_transp_1,PF00528,2.3e-45,155.2
NP_418000.1,BPD_transp_1_N,PF19300,3.4e-13,50.4
NP_418001.1,SBP_bac_5,PF00496,1.2e-114,383.9
NP_418002.2,Sulfatase,PF00884,9.7e-65,219.4
NP_418002.2,EptA_B_N,PF08019,2.4e-15,57.3
NP_418003.1,MFS_1,PF07690,3.9e-35,122.0
NP_418004.4,Autotransporter,PF03797,7.5e-12,46.1
NP_418005.1,Adenine_glyco,PF03352,1.1e-82,276.7
NP_418006.1,Acetyltransf_1,PF00583,2.7e-16,60.4
NP_418006.1,Acetyltransf_7,PF13508,5.7e-14,52.8
NP_418006.1,Acetyltransf_10,PF13673,3e-12,47.2
NP_418006.1,FR47,PF08445,2.8e-05,24.6
NP_418007.3,Molybdopterin,PF00384,2.5e-91,306.9
NP_418007.3,Molydop_binding,PF01568,9e-25,87.4
NP_418007.3,Molybdopterin_N,PF18364,5.5e-06,26.8
NP_418009.2,2-Hacid_dh_C,PF02826,3.5e-63,212.7
NP_418009.2,2-Hacid_dh,PF00389,4.5e-30,104.7
NP_418010.2,DUF3053,PF11254,2.9e-100,335.0
NP_418011.1,HTH_3,PF01381,6.3e-06,26.7
NP_418012.1,CSD,PF00313,4.6e-33,113.5
NP_418012.1,OB_RNB,PF08206,2e-05,24.8
NP_418014.1,HTH_28,PF13518,2.1e-22,79.4
NP_418014.1,HTH_29,PF13551,1.6e-10,41.5
NP_418014.1,HTH_32,PF13565,7.7e-09,36.6
NP_418014.1,HTH_23,PF13384,1.6e-08,34.7
NP_418014.1,DUF1153,PF06627,2.8e-05,24.7
NP_418015.1,rve,PF00665,2.3e-29,102.2
NP_418015.1,rve_2,PF13333,1.4e-20,73.7
NP_418015.1,HTH_21,PF13276,1.7e-16,60.8
NP_418015.1,rve_3,PF13683,1.9e-12,47.4
NP_418016.1,tRNA_synt_2f,PF02092,7.5e-217,722.1
NP_418016.1,DALR_1,PF05746,7.5e-11,42.7
NP_418017.1,tRNA-synt_2e,PF02091,8.2e-149,495.0
NP_418018.1,Acyl_transf_3,PF01757,1e-46,160.1
NP_418019.4,YiaAB,PF05360,6.5e-40,135.7
NP_418020.2,YiaAB,PF05360,2.3e-11,44.3
NP_418021.1,FGGY_N,PF00370,2.1e-90,303.2
NP_418021.1,FGGY_C,PF02782,1.5e-32,113.7
NP_418022.1,XylA2_C,PF27526,5.8e-23,81.5
NP_418023.1,Peripla_BP_4,PF13407,6.4e-62,210.0
NP_418023.1,Peripla_BP_1,PF00532,2.1e-13,51.0
NP_418024.1,ABC_tran,PF00005,1.9e-55,187.8
NP_418024.1,AAA_21,PF13304,6.7e-10,40.0
NP_418025.1,BPD_transp_2,PF02653,2.2e-42,145.7
NP_418026.1,PBP1_XylR,PF22177,4e-47,159.1
NP_418026.1,Peripla_BP_3,PF13377,4.1e-39,134.9
NP_418026.1,HTH_AraC,PF00165,6.3e-24,84.2
NP_418026.1,HTH_18,PF12833,1.1e-20,74.3
NP_418026.1,Peripla_BP_4,PF13407,1.4e-12,48.3
NP_418028.1,Alpha-amylase,PF00128,5.1e-33,115.5
NP_418030.1,Fer4_11,PF13247,2.5e-12,47.4
NP_418030.1,Fer4_6,PF12837,1.5e-12,47.4
NP_418030.1,Fer4,PF00037,3.3e-12,46.3
NP_418030.1,Fer4_9,PF13187,6.2e-12,46.0
NP_418030.1,Fer4_7,PF12838,1.4e-11,45.2
NP_418030.1,LdpA_Fe-S-bd,PF25160,7.9e-10,39.0
NP_418030.1,Fer4_2,PF12797,7.9e-10,38.6
NP_418030.1,Fer4_10,PF13237,2.5e-09,37.5
NP_418030.1,Fer4_3,PF12798,3.2e-07,31.3
NP_418030.1,Fer4_4,PF12800,2.2e-05,25.0
NP_418031.1,IclR_C,PF01614,1.1e-67,227.6
NP_418031.1,HTH_IclR,PF09339,1.3e-14,54.3
NP_418032.1,Ldh_2,PF02615,1.8e-103,346.8
NP_418033.1,DUF386,PF04074,4.1e-43,147.5
NP_418034.1,DctQ,PF04290,3.1e-30,105.3
NP_418036.1,DctP,PF03480,4.5e-107,358.2
NP_418037.1,FGGY_N,PF00370,4.9e-96,321.7
NP_418037.1,FGGY_C,PF02782,7.7e-19,68.9
NP_418038.1,OMPdecase,PF00215,7.3e-44,150.9
NP_418039.2,AP_endonuc_2,PF01261,9.2e-60,203.0
NP_418040.1,Aldolase_II,PF00596,4.7e-51,173.9
NP_418041.1,MipA,PF06629,2.9e-52,178.6
NP_418042.1,LysR_substrate,PF03466,2.1e-15,57.3
NP_418042.1,HTH_1,PF00126,8.1e-13,48.7
NP_418043.1,BSH_RND,PF25917,6.2e-08,33.0
NP_418043.1,Beta-barrel_RND_2,PF25954,7.8e-05,23.4
NP_418044.1,DUF3302,PF11742,2.5e-43,146.7
NP_418045.4,Aldedh,PF00171,5.2e-158,527.0
NP_418047.1,Beta-barrel_SelB,PF25461,1.1e-36,125.5
NP_418047.1,GTP_EFTU,PF00009,1.1e-34,120.3
NP_418047.1,WHD_2nd_SelB_bact,PF21214,1.2e-33,115.2
NP_418047.1,WHD_1st_3rd_SelB,PF21458,4.7e-23,81.2
NP_418047.1,WHD_3rd_SelB,PF09107,2e-17,63.0
NP_418047.1,WHD_2nd_SelB,PF09106,3.1e-16,59.8
NP_418047.1,GTP_EFTU_D2,PF03144,5.5e-11,43.3
NP_418047.1,MMR_HSR1,PF01926,3e-05,24.7
NP_418048.1,SelA,PF03841,1.6e-182,607.1
NP_418048.1,Se-cys_synth_N,PF12390,5.9e-10,39.7
NP_418049.1,GST_C,PF00043,4.8e-14,53.0
NP_418049.1,GST_N_2,PF13409,6.2e-14,52.9
NP_418049.1,GST_N_3,PF13417,2.2e-11,44.5
NP_418049.1,GST_N,PF02798,2.6e-08,34.6
NP_418050.1,RHS_repeat,PF05593,1.7e-68,226.5
NP_418050.1,Ntox34,PF15606,2e-42,143.8
NP_418050.1,TEN_YD-shell,PF25023,3.9e-38,131.7
NP_418050.1,DUF6531,PF20148,6.6e-18,65.4
NP_418050.1,RHS,PF03527,1.2e-15,57.6
